!!DICUT11

!! カードキャプターさくら用語辞書
!! Version 2.00　for ATOK11以降
!! ＜辞書No.5 「英語版（Cardcaptors）関連」＞

!!＜URL集＞
!!かーどきゃぷたーず	http://www.nelvana.com/cardcaptors/	固有一般

!!＜一般＞
かーどきゃぷたーず	Cardcaptors	固有商品

!!＜キャラクター名（日本語→英語）＞
きのもとさくら	Sakura Avalon	固有人名
きのもとさくら	サクラ・アヴァロン	固有人名
きのもとさくら	木之本さくら	固有人名
だいどうじともよ	Madison Taylor	固有人名
だいどうじともよ	マディソン・テイラー	固有人名
だいどうじともよ	大道寺知世	固有人名
りしゃおらん	Li Showron	固有人名
りしゃおらん	リ・ショウロン	固有人名
りしゃおらん	李小狼	固有人名
きのもととうや	Tori Avalon	固有人名
きのもととうや	トゥリ・アヴァロン	固有人名
きのもととうや	木之本桃矢	固有人名
つきしろゆきと	Julian Star	固有人名
つきしろゆきと	ジュリアン・スター	固有人名
つきしろゆきと	月城雪兎	固有人名
きのもとふじたか	Aiden Avalon	固有人名
きのもとふじたか	アイデン・アヴァロン	固有人名
きのもとふじたか	木之本藤隆	固有人名
きのもとなでしこ	Natasha Avalon	固有人名
きのもとなでしこ	ナターシャ・アヴァロン	固有人名
きのもとなでしこ	木之本撫子	固有人名
だいどうじそのみ	Samantha Taylor	固有人名
だいどうじそのみ	サマンサ・テイラー	固有人名
だいどうじそのみ	大道寺園美	固有人名
みづきかほ	Layla Mackenzie	固有人名
みづきかほ	レイラ・マッケンジー	固有人名
みづきかほ	観月歌帆	固有人名
りめいりん	Meilin Rae	固有人名
りめいりん	メイリン・ラエ	固有人名
りめいりん	李苺鈴	固有人名
ひいらぎざわえりおる	Eli Moon	固有人名
ひいらぎざわえりおる	エリ・ムーン	固有人名
ひいらぎざわえりおる	柊沢エリオル	固有人名
ささきりか	Rita	固有人名
ささきりか	リタ	固有人名
ささきりか	佐々木利佳	固有人名
やなぎさわなおこ	Nikki	固有人名
やなぎさわなおこ	ニッキー	固有人名
やなぎさわなおこ	柳沢奈緒子	固有人名
みはらちはる	Chelsea	固有人名
みはらちはる	チェルシー	固有人名
みはらちはる	三原千春	固有人名
